,Date,Shape,Location,State,Country,Lat,Lng,Closest Airport,Closest Airport Address,Closest Military Base,Closest Military Base Address
0,1/1/2016,Orb/Sphere ,Covington ,WA ,USA ,47.3595592,-122.1180119,Seattle-Tacoma International Airport,"17801 International Boulevard, Seattle",Washington Army National Guard (Kent Armory),"24410 Military Rd S, Kent"
1,1/1/2016,Lights Only ,Smyrna ,GA ,USA ,33.8839926,-84.51437609999999,Hartsfield-Jackson Atlanta International Airport,"6000 North Terminal Parkway, Atlanta",Military Depot,"13680 Arnold Mill Rd A, Roswell"
2,1/1/2016,Lights Only ,Gillsville ,GA ,USA ,34.3078817,-83.6335036,Athens-Ben Epps Airport - AHN,"1010 Ben Epps Drive, Athens",Army ROTC,"Military Bldg, Athens"
3,1/1/2016,Lights Only ,Elk Grove ,CA ,USA ,38.4087993,-121.3716178,Sacramento International Airport,"6900 Airport Boulevard, Sacramento",270th Military Police Company,"8410 Okinawa St, Sacramento"
4,1/1/2016,Lights Only ,Crystal City ,MO ,USA ,38.2190704,-90.38516369999999,St. Louis Downtown Airport,"6100 Archview Drive, Cahokia",US Army Reserve Center,"1610 W Columbia St, Farmington"
5,1/1/2016,Lights Only ,Las Vegas ,NV ,USA ,36.1699412,-115.1398296,Big Land Desert City,"160 Las Vegas Boulevard North, Las Vegas",US Army Department,"2901 E Sahara Ave, Las Vegas"
6,1/1/2016,Lights Only ,Bayville ,NJ ,USA ,39.9090924,-74.1549173,Ocean County Airport,"101 Airport Road, Bayville",US Navy Department,"797 NJ-34, Colts Neck"
7,1/1/2016,Lights Only ,Glendale ,AZ ,USA ,33.5386523,-112.1859866,Public Safety,Glendale,Military Items,"5623 W Glendale Ave, Glendale"
8,1/1/2016,Lights Only ,Florence ,KY ,USA ,38.9989499,-84.62661109999999,Cincinnati/Northern Kentucky International Airport,"3087 Terminal Drive, Hebron",Military Surplus,"1250 US-50, Milford"
9,1/1/2016,Circle ,Anchorage ,AK ,USA ,61.2180556,-149.9002778,Bryant Army Heliport,Anchorage,US Army Department,"1717 C St, Anchorage"
10,1/1/2016,Circle ,Richland ,WA ,USA ,46.28042000000001,-119.2751996,Tri-Cities Airport,"3601 North 20th Avenue, Pasco",US Army Department,"1011 E Ainsworth Ave, Pasco"
11,1/1/2016,Circle ,Joppatowne ,MD ,USA ,39.4290415,-76.3557028,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,US Army Reserve Depot,"700 E Ordnance Rd, Baltimore"
12,1/1/2016,Circle ,Medford ,NY ,USA ,40.8175985,-73.0001068,Long Island MacArthur Airport,"100 Arrival Avenue, Ronkonkoma",Martin Military Inc,"1065 N Broadway, North Massapequa"
13,1/1/2016,Circle ,Amelia Island ,FL ,USA ,30.6265697,-81.46085599999999,Jacksonville International Airport,"2400 Yankee Clipper Drive, Jacksonville",US Defense Department,"Roosevelt Blvd, Jacksonville Naval Air Station"
14,1/1/2016,Circle ,Corinth ,KY ,USA ,38.4967376,-84.56410989999999,Blue Haven Farm Airport-14KY,"1850 Ferguson Road, Lexington",Military Interstate Children's Compact Commission,"2760 Research Park Dr, Lexington"
15,1/1/2016,Circle ,Colville ,WA ,USA ,48.5449971,-117.9009545,Erickson Ranch Airport,Rice,US Navy Recruiting,"164 S Main St, Colville"
16,1/1/2016,Circle ,Salt Lake City ,UT ,USA ,40.7607793,-111.8910474,American Towers Heliport,Salt Lake City,Utah National Guard,"17800 1700 W, Bluffdale"
17,1/1/2016,Lights Only ,Kennewick ,WA ,USA ,46.2086683,-119.119948,Tri-Cities Airport,"3601 North 20th Avenue, Pasco",US Army Department,"1011 E Ainsworth Ave, Pasco"
18,1/1/2016,Lights Only ,Chillicothe ,MO ,USA ,39.7952946,-93.5524358,Lake Viking Private Airport,"Lake Viking Airport, Gallatin",National Guard,"1500 Washington St, Chillicothe"
19,1/1/2016,Oval ,Malabar ,FL ,USA ,28.0036298,-80.5656089,Melbourne Orlando International Airport,"1 Air Terminal Parkway, Melbourne",Victory Center Military Store,"6200 20th St, Vero Beach"
20,1/1/2016,Lights Only ,Phoenix ,AZ ,USA ,33.4483771,-112.0740373,Phoenix Mesa,Phoenix,Military Items,"5623 W Glendale Ave, Glendale"
21,1/1/2016,Lights Only ,Gloucester ,MA ,USA ,42.6159285,-70.6619888,Boston Logan International Airport,Boston,US Army Department,"US Army Department, 10 Causeway St, Boston"
22,1/1/2016,Lights Only ,Auburn ,WA ,USA ,47.30732279999999,-122.2284532,Seattle-Tacoma International Airport,"17801 International Boulevard, Seattle",Us Army,"13 A Bldg99, Lewis Mcchord"
23,1/1/2016,Triangle ,Arnold ,MO ,USA ,38.4419421,-90.3799609,St. Louis Lambert International Airport,"10701 Lambert International Boulevard, St. Louis",Overlord Military Collectibles,"3008 Woodson Rd, Overland"
24,1/1/2016,Triangle ,Matthews ,NC ,USA ,35.1168131,-80.72368039999999,Charlotte Douglas International Airport,"5501 Josh Birmingham Parkway, Charlotte",Jasmine’s Military Shop / AZ EAZY SURPLUS,"4913 Chastain Ave #25, Charlotte"
25,1/1/2016,Triangle ,Thermopolis ,WY ,USA ,43.6460672,-108.2120432,Worland Municipal Airport,"1472 Airport Road, Worland",National Guard Recruiting Office,"1812 Washakie Ave, Worland"
26,1/1/2016,Orb/Sphere ,Sacramento ,CA ,USA ,38.5815719,-121.4943996,,,270th Military Police Company,"8410 Okinawa St, Sacramento"
27,1/1/2016,Orb/Sphere ,Hereford Township ,PA ,USA ,40.4442247,-75.58588859999999,Lehigh Valley International Airport,"3311 Airport Road, Allentown",Defense Logistics Agency Troop Support,"700 Robbins St, Philadelphia"
