,Date,Shape,Location,State,Country,Lat,Lng,Closest Airport,Closest Airport Address,Closest Military Base,Closest Military Base Address
0,2016-01-01,Unknown ,Ontario ,CA ,USA ,34.0633443,-117.6508876,,,US Army Department,Los Alamitos
1,2016-01-01,Diamond ,Longmont ,CO ,USA ,40.1672068,-105.1019275,Boulder Municipal Airport-BDU,"3327 Airport Road, Boulder",US Army Department,"721 19th St #485, Denver"
2,2016-01-01,Lights Only ,Auburn ,WA ,USA ,47.30732279999999,-122.2284532,Seattle-Tacoma International Airport,"17801 International Boulevard, Seattle",Us Army,"13 A Bldg99, Lewis Mcchord"
3,2016-01-01,Lights Only ,Smyrna ,GA ,USA ,33.8839926,-84.51437609999999,Hartsfield-Jackson Atlanta International Airport,"6000 North Terminal Parkway, Atlanta",Military Depot,"13680 Arnold Mill Rd A, Roswell"
4,2016-01-01,Circle ,Richland ,WA ,USA ,46.28042000000001,-119.2751996,Tri-Cities Airport,"3601 North 20th Avenue, Pasco",US Army Department,"1011 E Ainsworth Ave, Pasco"
5,2016-01-01,Lights Only ,Irmo ,SC ,USA ,34.0859829,-81.1831513,Columbia Metropolitan Airport,"3250 Airport Boulevard, West Columbia",United States Department of Army,"5450 Strom Thurmond Blvd # 208, Columbia"
6,2016-01-01,Lights Only ,Tacoma ,WA ,USA ,47.2528768,-122.4442906,Saint Joseph Hospital Heliport,Tacoma,Us Army,"13 A Bldg99, Lewis Mcchord"
7,2016-01-01,Lights Only ,Portland ,OR ,USA ,45.5051064,-122.6750261,A2 Global Shipping,"115 Southeast Yamhill Street #65h, Portland",Air National Guard 142 Fighter,"6801 NE Cornfoot Rd, Portland"
8,2016-01-01,Lights Only ,Newburgh ,ME ,USA ,44.71736749999999,-69.0003898,Lucky Landing Marina and Seaplane Base,Glenburn,Maine Military Supply,"179 Main Rd, Holden"
9,2016-01-01,Lights Only ,Gloucester ,MA ,USA ,42.6159285,-70.6619888,Boston Logan International Airport,Boston,US Army Department,"US Army Department, 10 Causeway St, Boston"
10,2016-01-01,Lights Only ,Phoenix ,AZ ,USA ,33.4483771,-112.0740373,Phoenix Mesa,Phoenix,US Army Reserve Herrera Annex,"7334 E Ulysses Ave, Mesa"
11,2016-01-01,Lights Only ,Chillicothe ,MO ,USA ,39.7952946,-93.5524358,Lake Viking Private Airport,"Lake Viking Airport, Gallatin",National Guard,"1500 Washington St, Chillicothe"
12,2016-01-01,Lights Only ,Kennewick ,WA ,USA ,46.2086683,-119.119948,Tri-Cities Airport,"3601 North 20th Avenue, Pasco",US Army Department,"1011 E Ainsworth Ave, Pasco"
13,2016-01-01,Lights Only ,Florence ,KY ,USA ,38.9989499,-84.62661109999999,Cincinnati/Northern Kentucky International Airport,"3087 Terminal Drive, Hebron",Military Surplus,"1250 US-50, Milford"
